date,day,month,year,cases,deaths,country,country_code,countryterritoryCode,popData2018,coronavirus,related_queries,trends_title,trends_traffic,cumsum_case,growth_rate
2020-03-29,29,3,2020,431,1,Australia,AU,AUS,24992369.0,78,,"{0: 'WhatsApp', 1: 'Ben Cousins', 2: 'Coronavirus tips', 3: 'Moratorium', 4: 'Coronavirus Australia app', 5: 'Dancing With The Stars 2020', 6: 'Survivor Australia', 7: 'Coronavirus app download', 8: 'Ben Cousins documentary 2020', 9: 'Jigsaw puzzle', 10: 'Telehealth', 11: 'Weather radar', 12: 'Stacey MAFS', 13: 'Connie MAFS', 14: 'Fish', 15: 'Cow', 16: 'Shia LaBeouf', 17: 'Bird', 18: 'Whale', 19: 'Spider'}","{0: '100K+', 1: '100K+', 2: '100K+', 3: '100K+', 4: '50K+', 5: '50K+', 6: '20K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '10K+', 11: '10K+', 12: '10K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '5K+', 18: '5K+', 19: '5K+'}",3809,11.315305854555001
2020-03-28,28,3,2020,212,0,Australia,AU,AUS,24992369.0,75,,"{0: 'Tiger', 1: 'Lion', 2: 'Myer', 3: 'Shark', 4: 'Dog', 5: 'Cat', 6: 'Bear', 7: 'Queen Elizabeth', 8: 'Elephant', 9: 'Earth Hour', 10: 'Horse', 11: '3D animals', 12: 'Queensland election 2020', 13: 'Wolf', 14: 'Duck', 15: 'Giraffe', 16: 'Local government election 2020', 17: 'Monkey', 18: 'QLD election results', 19: 'Election results'}","{0: '100K+', 1: '100K+', 2: '100K+', 3: '50K+', 4: '50K+', 5: '20K+', 6: '20K+', 7: '20K+', 8: '20K+', 9: '20K+', 10: '20K+', 11: '20K+', 12: '20K+', 13: '20K+', 14: '20K+', 15: '20K+', 16: '20K+', 17: '20K+', 18: '20K+', 19: '20K+'}",3378,6.275902901124926
2020-03-27,27,3,2020,367,2,Australia,AU,AUS,24992369.0,72,,"{0: 'Boris Johnson', 1: 'COVID-19 Australia updates', 2: 'Woolworths jobs', 3: 'Mark Blum', 4: 'Ozark', 5: 'Jon Jones', 6: 'Paige Spiranac', 7: 'Footloose', 8: 'Once Upon a Time in Hollywood', 9: 'Scott Morrison press release', 10: 'Madonna', 11: 'Kathmandu', 12: 'Carole Baskin', 13: 'G20', 14: 'Until Tomorrow trend', 15: 'Voting Brisbane 2020', 16: 'Latest Australian news', 17: 'Pearl Jam: Gigaton', 18: 'COVID-19 Victoria Australia', 19: 'Matthew Broderick'}","{0: '200K+', 1: '50K+', 2: '50K+', 3: '20K+', 4: '20K+', 5: '20K+', 6: '20K+', 7: '20K+', 8: '20K+', 9: '10K+', 10: '10K+', 11: '10K+', 12: '10K+', 13: '10K+', 14: '10K+', 15: '10K+', 16: '10K+', 17: '5K+', 18: '5K+', 19: '5K+'}",3166,11.591914087176248
2020-03-26,26,3,2020,376,3,Australia,AU,AUS,24992369.0,70,,"{0: 'Powerball tonight', 1: 'Powerball winner', 2: 'Qld school closures', 3: 'New Zealand news', 4: 'Stonnington', 5: 'Stage 3 lockdown Victoria', 6: 'Bugzy Malone', 7: 'Floyd Cardoz', 8: 'Qld schools', 9: 'Fight club', 10: 'Prince Harry', 11: 'Mark Zahra', 12: 'Smiggle', 13: 'Until tomorrow', 14: 'Hairdressers', 15: 'Hairdresser', 16: 'The post', 17: 'Stimulus payment', 18: 'SIA', 19: 'Iceland'}","{0: '20K+', 1: '20K+', 2: '10K+', 3: '10K+', 4: '10K+', 5: '10K+', 6: '10K+', 7: '10K+', 8: '10K+', 9: '5K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '2K+', 17: '2K+', 18: '2K+', 19: '2K+'}",2799,13.433369060378707
2020-03-25,25,3,2020,600,1,Australia,AU,AUS,24992369.0,79,,,,2423,24.762690879075524
2020-03-24,24,3,2020,114,0,Australia,AU,AUS,24992369.0,81,,,,1823,6.253428414701042
2020-03-23,23,3,2020,611,0,Australia,AU,AUS,24992369.0,83,,,,1709,35.75190169689877
2020-03-22,22,3,2020,224,0,Australia,AU,AUS,24992369.0,100,"{0: 'nsw lockdown coronavirus', 1: 'access super coronavirus', 2: 'coronavirus supplements', 3: 'what are the symptoms of coronavirus', 4: 'coronavirus cases worldwide'}",,,1098,20.40072859744991
2020-03-21,21,3,2020,165,1,Australia,AU,AUS,24992369.0,74,,,,874,18.87871853546911
2020-03-20,20,3,2020,144,0,Australia,AU,AUS,24992369.0,66,,,,709,20.310296191819464
2020-03-19,19,3,2020,111,1,Australia,AU,AUS,24992369.0,65,,,,565,19.646017699115045
2020-03-18,18,3,2020,79,0,Australia,AU,AUS,24992369.0,71,,,,454,17.400881057268723
2020-03-17,17,3,2020,77,0,Australia,AU,AUS,24992369.0,80,,,,375,20.533333333333335
2020-03-16,16,3,2020,49,2,Australia,AU,AUS,24992369.0,81,,,,298,16.44295302013423
2020-03-15,15,3,2020,52,0,Australia,AU,AUS,24992369.0,79,,,,249,20.883534136546185
2020-03-14,14,3,2020,41,0,Australia,AU,AUS,24992369.0,68,,,,197,20.81218274111675
2020-03-13,13,3,2020,30,0,Australia,AU,AUS,24992369.0,73,,,,156,19.23076923076923
2020-03-12,12,3,2020,14,0,Australia,AU,AUS,24992369.0,63,,,,126,11.11111111111111
2020-03-11,11,3,2020,12,0,Australia,AU,AUS,24992369.0,38,,,,112,10.714285714285714
2020-03-10,10,3,2020,20,0,Australia,AU,AUS,24992369.0,36,,,,100,20.0
2020-03-09,9,3,2020,6,0,Australia,AU,AUS,24992369.0,30,,,,80,7.5
2020-03-08,8,3,2020,11,1,Australia,AU,AUS,24992369.0,28,,,,74,14.864864864864865
2020-03-07,7,3,2020,4,0,Australia,AU,AUS,24992369.0,25,,,,63,6.349206349206349
2020-03-06,6,3,2020,7,0,Australia,AU,AUS,24992369.0,25,,,,59,11.864406779661017
2020-03-05,5,3,2020,11,1,Australia,AU,AUS,24992369.0,28,,,,52,21.153846153846153
2020-03-04,4,3,2020,8,0,Australia,AU,AUS,24992369.0,29,,,,41,19.51219512195122
2020-03-03,3,3,2020,4,0,Australia,AU,AUS,24992369.0,26,,,,33,12.121212121212121
2020-03-02,2,3,2020,3,0,Australia,AU,AUS,24992369.0,23,,,,29,10.344827586206897
2020-03-01,1,3,2020,1,1,Australia,AU,AUS,24992369.0,19,,,,26,3.8461538461538463
2020-02-29,29,2,2020,2,0,Australia,AU,AUS,24992369.0,17,,,,25,8.0
2020-02-28,28,2,2020,0,0,Australia,AU,AUS,24992369.0,17,,,,23,0.0
2020-02-27,27,2,2020,1,0,Australia,AU,AUS,24992369.0,16,,,,23,4.3478260869565215
2020-02-26,26,2,2020,0,0,Australia,AU,AUS,24992369.0,15,,,,22,0.0
2020-02-25,25,2,2020,0,0,Australia,AU,AUS,24992369.0,12,,,,22,0.0
2020-02-24,24,2,2020,0,0,Australia,AU,AUS,24992369.0,11,,,,22,0.0
2020-02-23,23,2,2020,1,0,Australia,AU,AUS,24992369.0,8,,,,22,4.545454545454546
2020-02-22,22,2,2020,4,0,Australia,AU,AUS,24992369.0,6,,,,21,19.047619047619047
2020-02-21,21,2,2020,2,0,Australia,AU,AUS,24992369.0,6,,,,17,11.764705882352942
2020-02-20,20,2,2020,0,0,Australia,AU,AUS,24992369.0,5,,,,15,0.0
2020-02-19,19,2,2020,0,0,Australia,AU,AUS,24992369.0,5,,,,15,0.0
2020-02-18,18,2,2020,0,0,Australia,AU,AUS,24992369.0,6,,,,15,0.0
2020-02-17,17,2,2020,0,0,Australia,AU,AUS,24992369.0,6,,,,15,0.0
2020-02-16,16,2,2020,0,0,Australia,AU,AUS,24992369.0,7,,,,15,0.0
2020-02-15,15,2,2020,0,0,Australia,AU,AUS,24992369.0,7,,,,15,0.0
2020-02-14,14,2,2020,1,0,Australia,AU,AUS,24992369.0,8,,,,15,6.666666666666667
2020-02-13,13,2,2020,0,0,Australia,AU,AUS,24992369.0,10,,,,14,0.0
2020-02-12,12,2,2020,0,0,Australia,AU,AUS,24992369.0,8,,,,14,0.0
2020-02-11,11,2,2020,0,0,Australia,AU,AUS,24992369.0,9,,,,14,0.0
2020-02-10,10,2,2020,0,0,Australia,AU,AUS,24992369.0,10,,,,14,0.0
2020-02-09,9,2,2020,0,0,Australia,AU,AUS,24992369.0,9,,,,14,0.0
2020-02-08,8,2,2020,0,0,Australia,AU,AUS,24992369.0,11,,,,14,0.0
2020-02-07,7,2,2020,1,0,Australia,AU,AUS,24992369.0,12,,,,14,7.142857142857143
2020-02-06,6,2,2020,1,0,Australia,AU,AUS,24992369.0,11,,,,13,7.6923076923076925
2020-02-05,5,2,2020,1,0,Australia,AU,AUS,24992369.0,11,,,,12,8.333333333333334
2020-02-04,4,2,2020,0,0,Australia,AU,AUS,24992369.0,11,,,,11,0.0
2020-02-03,3,2,2020,0,0,Australia,AU,AUS,24992369.0,12,,,,11,0.0
2020-02-02,2,2,2020,2,0,Australia,AU,AUS,24992369.0,14,,,,11,18.181818181818183
2020-02-01,1,2,2020,2,0,Australia,AU,AUS,24992369.0,16,,,,9,22.22222222222222
2020-01-31,31,1,2020,1,0,Australia,AU,AUS,24992369.0,19,,,,7,14.285714285714286
